,originalLocation,x,y,z
300,I-20-11,21.8,68.8,1
301,I-20-12,20.2,68.8,1
302,I-20-13,18.6,68.8,1
303,I-21-11,16.8,57.2,1
304,I-21-12,15.2,57.2,1
305,I-21-13,13.6,57.2,1
306,I-22-11,16.8,68.8,1
307,I-22-12,15.2,68.8,1
308,I-22-13,13.6,68.8,1
309,I-23-11,11.8,57.2,1
310,I-23-12,10.2,57.2,1
311,I-23-13,8.6,57.2,1
312,I-24-11,11.8,68.8,1
313,I-24-12,10.2,68.8,1
314,I-24-13,8.6,68.8,1
315,J-01-11,66.6,81.0,1
316,J-01-12,65.0,81.0,1
317,J-01-13,63.4,81.0,1
318,J-02-11,66.6,86.8,1
319,J-02-12,65.0,86.8,1
320,J-02-13,63.4,86.8,1
321,J-03-11,61.6,81.0,1
322,J-03-12,60.0,81.0,1
323,J-03-13,58.4,81.0,1
324,J-04-11,61.6,86.8,1
325,J-04-12,60.0,86.8,1
326,J-04-13,58.4,86.8,1
327,J-05-11,56.6,81.0,1
328,J-05-12,55.0,81.0,1
329,J-05-13,53.4,81.0,1
330,J-06-11,56.6,86.8,1
331,J-06-12,55.0,86.8,1
332,J-06-13,53.4,86.8,1
333,J-07-11,51.6,81.0,1
334,J-07-12,50.0,81.0,1
335,J-07-13,48.4,81.0,1
336,J-08-11,51.6,86.8,1
337,J-08-12,50.0,86.8,1
338,J-08-13,48.4,86.8,1
339,J-09-11,46.6,81.0,1
340,J-09-12,45.0,81.0,1
341,J-09-13,43.4,81.0,1
342,J-10-11,46.6,86.8,1
343,J-10-12,45.0,86.8,1
344,J-10-13,43.4,86.8,1
345,J-13-11,36.8,72.0,1
346,J-13-12,35.2,72.0,1
347,J-13-13,33.6,72.0,1
348,J-14-11,36.8,77.8,1
349,J-14-12,35.2,77.8,1
350,J-14-13,33.6,77.8,1
351,J-15-11,31.8,72.0,1
352,J-15-12,30.2,72.0,1
353,J-15-13,28.6,72.0,1
354,J-16-11,31.8,77.8,1
355,J-16-12,30.2,77.8,1
356,J-16-13,28.6,77.8,1
357,J-17-11,26.8,72.0,1
358,J-17-12,25.2,72.0,1
359,J-17-13,23.6,72.0,1
360,J-18-11,26.8,77.8,1
361,J-18-12,25.2,77.8,1
362,J-18-13,23.6,77.8,1
363,J-19-11,21.8,72.0,1
364,J-19-12,20.2,72.0,1
365,J-19-13,18.6,72.0,1
366,J-20-11,21.8,77.8,1
367,J-20-12,20.2,77.8,1
368,J-20-13,18.6,77.8,1
369,J-21-11,16.8,72.0,1
370,J-21-12,15.2,72.0,1
371,J-21-13,13.6,72.0,1
372,J-22-11,16.8,77.8,1
373,J-22-12,15.2,77.8,1
374,J-22-13,13.6,77.8,1
375,J-23-11,11.8,72.0,1
376,J-23-12,10.2,72.0,1
377,J-23-13,8.6,72.0,1
378,J-24-11,11.8,77.8,1
379,J-24-12,10.2,77.8,1
380,J-24-13,8.6,77.8,1
381,K-01-11,66.6,90.0,1
382,K-01-12,65.0,90.0,1
383,K-01-13,63.4,90.0,1
384,K-02-11,66.6,95.8,1
385,K-02-12,65.0,95.8,1
386,K-02-13,63.4,95.8,1
387,K-03-11,61.6,90.0,1
388,K-03-12,60.0,90.0,1
389,K-03-13,58.4,90.0,1
390,K-04-11,61.6,95.8,1
391,K-04-12,60.0,95.8,1
392,K-04-13,58.4,95.8,1
393,K-05-11,56.6,90.0,1
394,K-05-12,55.0,90.0,1
395,K-05-13,53.4,90.0,1
396,K-06-11,56.6,95.8,1
397,K-06-12,55.0,95.8,1
398,K-06-13,53.4,95.8,1
399,K-07-11,51.6,90.0,1
400,K-07-12,50.0,90.0,1
401,K-07-13,48.4,90.0,1
402,K-08-11,51.6,95.8,1
403,K-08-12,50.0,95.8,1
404,K-08-13,48.4,95.8,1
405,K-09-11,46.6,90.0,1
406,K-09-12,45.0,90.0,1
407,K-09-13,43.4,90.0,1
408,K-10-11,46.6,95.8,1
409,K-10-12,45.0,95.8,1
410,K-10-13,43.4,95.8,1
411,K-13-11,36.8,81.0,1
412,K-13-12,35.2,81.0,1
413,K-13-13,33.6,81.0,1
414,K-14-11,36.8,86.8,1
415,K-14-12,35.2,86.8,1
416,K-14-13,33.6,86.8,1
417,K-15-11,31.8,81.0,1
418,K-15-12,30.2,81.0,1
419,K-15-13,28.6,81.0,1
420,K-16-11,31.8,86.8,1
421,K-16-12,30.2,86.8,1
422,K-16-13,28.6,86.8,1
423,K-17-11,26.8,81.0,1
424,K-17-12,25.2,81.0,1
425,K-17-13,23.6,81.0,1
426,K-18-11,26.8,86.8,1
427,K-18-12,25.2,86.8,1
428,K-18-13,23.6,86.8,1
429,K-19-11,21.8,81.0,1
430,K-19-12,20.2,81.0,1
431,K-19-13,18.6,81.0,1
432,K-20-11,21.8,86.8,1
433,K-20-12,20.2,86.8,1
434,K-20-13,18.6,86.8,1
435,K-21-11,16.8,81.0,1
436,K-21-12,15.2,81.0,1
437,K-21-13,13.6,81.0,1
438,K-22-11,16.8,86.8,1
439,K-22-12,15.2,86.8,1
440,K-22-13,13.6,86.8,1
441,K-23-11,11.8,81.0,1
442,K-23-12,10.2,81.0,1
443,K-23-13,8.6,81.0,1
444,K-24-11,11.8,86.8,1
445,K-24-12,10.2,86.8,1
446,K-24-13,8.6,86.8,1
447,L-01-11,66.6,99.0,1
448,L-01-12,65.0,99.0,1
449,L-01-13,63.4,99.0,1
450,L-02-11,66.6,104.8,1
