,originalLocation,position,x,y,z
1585,N-05-12,"550, 1170, 1",550,1170,1
1586,N-05-13,"534, 1170, 1",534,1170,1
1592,N-06-11,"566, 1228, 1",566,1228,1
1593,N-06-12,"550, 1228, 1",550,1228,1
1594,N-06-13,"534, 1228, 1",534,1228,1
1600,N-07-11,"516, 1170, 1",516,1170,1
1601,N-07-12,"500, 1170, 1",500,1170,1
1602,N-07-13,"484, 1170, 1",484,1170,1
1608,N-08-11,"516, 1228, 1",516,1228,1
1609,N-08-12,"500, 1228, 1",500,1228,1
1610,N-08-13,"484, 1228, 1",484,1228,1
1616,N-09-11,"466, 1170, 1",466,1170,1
1617,N-09-12,"450, 1170, 1",450,1170,1
1618,N-09-13,"434, 1170, 1",434,1170,1
1624,N-10-11,"466, 1228, 1",466,1228,1
1625,N-10-12,"450, 1228, 1",450,1228,1
1626,N-10-13,"434, 1228, 1",434,1228,1
1632,N-13-11,"368, 1080, 1",368,1080,1
1633,N-13-12,"352, 1080, 1",352,1080,1
1634,N-13-13,"336, 1080, 1",336,1080,1
1640,N-14-11,"368, 1138, 1",368,1138,1
1641,N-14-12,"352, 1138, 1",352,1138,1
1642,N-14-13,"336, 1138, 1",336,1138,1
1648,N-15-11,"318, 1080, 1",318,1080,1
1649,N-15-12,"302, 1080, 1",302,1080,1
1650,N-15-13,"286, 1080, 1",286,1080,1
1656,N-16-11,"318, 1138, 1",318,1138,1
1657,N-16-12,"302, 1138, 1",302,1138,1
1658,N-16-13,"286, 1138, 1",286,1138,1
1664,N-17-11,"268, 1080, 1",268,1080,1
1665,N-17-12,"252, 1080, 1",252,1080,1
1666,N-17-13,"236, 1080, 1",236,1080,1
1672,N-18-11,"268, 1138, 1",268,1138,1
1673,N-18-12,"252, 1138, 1",252,1138,1
1674,N-18-13,"236, 1138, 1",236,1138,1
1680,N-19-11,"218, 1080, 1",218,1080,1
1681,N-19-12,"202, 1080, 1",202,1080,1
1682,N-19-13,"186, 1080, 1",186,1080,1
1688,N-20-11,"218, 1138, 1",218,1138,1
1689,N-20-12,"202, 1138, 1",202,1138,1
1690,N-20-13,"186, 1138, 1",186,1138,1
1696,N-21-11,"168, 1080, 1",168,1080,1
1697,N-21-12,"152, 1080, 1",152,1080,1
1698,N-21-13,"136, 1080, 1",136,1080,1
1704,N-22-11,"168, 1138, 1",168,1138,1
1705,N-22-12,"152, 1138, 1",152,1138,1
1706,N-22-13,"136, 1138, 1",136,1138,1
1712,N-23-11,"118, 1080, 1",118,1080,1
1713,N-23-12,"102, 1080, 1",102,1080,1
1714,N-23-13,"86, 1080, 1",86,1080,1
1720,N-24-11,"118, 1138, 1",118,1138,1
1721,N-24-12,"102, 1138, 1",102,1138,1
1722,N-24-13,"86, 1138, 1",86,1138,1
1728,O-01-11,"666, 1260, 1",666,1260,1
1729,O-01-12,"650, 1260, 1",650,1260,1
1730,O-01-13,"634, 1260, 1",634,1260,1
1736,O-02-11,"666, 1318, 1",666,1318,1
1737,O-02-12,"650, 1318, 1",650,1318,1
1738,O-02-13,"634, 1318, 1",634,1318,1
1744,O-03-11,"616, 1260, 1",616,1260,1
1745,O-03-12,"600, 1260, 1",600,1260,1
1746,O-03-13,"584, 1260, 1",584,1260,1
1752,O-04-11,"616, 1318, 1",616,1318,1
1753,O-04-12,"600, 1318, 1",600,1318,1
1754,O-04-13,"584, 1318, 1",584,1318,1
1760,O-05-11,"566, 1260, 1",566,1260,1
1761,O-05-12,"550, 1260, 1",550,1260,1
1762,O-05-13,"534, 1260, 1",534,1260,1
1768,O-06-11,"566, 1318, 1",566,1318,1
1769,O-06-12,"550, 1318, 1",550,1318,1
1770,O-06-13,"534, 1318, 1",534,1318,1
1776,O-07-11,"516, 1260, 1",516,1260,1
1777,O-07-12,"500, 1260, 1",500,1260,1
1778,O-07-13,"484, 1260, 1",484,1260,1
1784,O-08-11,"516, 1318, 1",516,1318,1
1785,O-08-12,"500, 1318, 1",500,1318,1
1786,O-08-13,"484, 1318, 1",484,1318,1
1792,O-09-11,"466, 1260, 1",466,1260,1
1793,O-09-12,"450, 1260, 1",450,1260,1
1794,O-09-13,"434, 1260, 1",434,1260,1
1800,O-10-11,"466, 1318, 1",466,1318,1
1801,O-10-12,"450, 1318, 1",450,1318,1
1802,O-10-13,"434, 1318, 1",434,1318,1
1808,O-13-11,"368, 1170, 1",368,1170,1
1809,O-13-12,"352, 1170, 1",352,1170,1
1810,O-13-13,"336, 1170, 1",336,1170,1
1816,O-14-11,"368, 1228, 1",368,1228,1
1817,O-14-12,"352, 1228, 1",352,1228,1
1818,O-14-13,"336, 1228, 1",336,1228,1
1824,O-15-11,"318, 1170, 1",318,1170,1
1825,O-15-12,"302, 1170, 1",302,1170,1
1826,O-15-13,"286, 1170, 1",286,1170,1
1832,O-16-11,"318, 1228, 1",318,1228,1
1833,O-16-12,"302, 1228, 1",302,1228,1
1834,O-16-13,"286, 1228, 1",286,1228,1
1840,O-17-11,"268, 1170, 1",268,1170,1
1841,O-17-12,"252, 1170, 1",252,1170,1
1842,O-17-13,"236, 1170, 1",236,1170,1
1848,O-18-11,"268, 1228, 1",268,1228,1
1849,O-18-12,"252, 1228, 1",252,1228,1
1850,O-18-13,"236, 1228, 1",236,1228,1
1856,O-19-11,"218, 1170, 1",218,1170,1
1857,O-19-12,"202, 1170, 1",202,1170,1
1858,O-19-13,"186, 1170, 1",186,1170,1
1864,O-20-11,"218, 1228, 1",218,1228,1
1865,O-20-12,"202, 1228, 1",202,1228,1
1866,O-20-13,"186, 1228, 1",186,1228,1
1872,O-21-11,"168, 1170, 1",168,1170,1
1873,O-21-12,"152, 1170, 1",152,1170,1
1874,O-21-13,"136, 1170, 1",136,1170,1
1880,O-22-11,"168, 1228, 1",168,1228,1
1881,O-22-12,"152, 1228, 1",152,1228,1
1882,O-22-13,"136, 1228, 1",136,1228,1
1888,O-23-11,"118, 1170, 1",118,1170,1
1889,O-23-12,"102, 1170, 1",102,1170,1
1890,O-23-13,"86, 1170, 1",86,1170,1
1896,O-24-11,"118, 1228, 1",118,1228,1
1897,O-24-12,"102, 1228, 1",102,1228,1
1898,O-24-13,"86, 1228, 1",86,1228,1
1904,P-01-11,"666, 1350, 1",666,1350,1
1905,P-01-12,"650, 1350, 1",650,1350,1
1906,P-01-13,"634, 1350, 1",634,1350,1
1912,P-02-11,"666, 1408, 1",666,1408,1
1913,P-02-12,"650, 1408, 1",650,1408,1
1914,P-02-13,"634, 1408, 1",634,1408,1
1920,P-03-11,"616, 1350, 1",616,1350,1
1921,P-03-12,"600, 1350, 1",600,1350,1
1922,P-03-13,"584, 1350, 1",584,1350,1
1928,P-04-11,"616, 1408, 1",616,1408,1
1929,P-04-12,"600, 1408, 1",600,1408,1
1930,P-04-13,"584, 1408, 1",584,1408,1
1936,P-05-11,"566, 1350, 1",566,1350,1
1937,P-05-12,"550, 1350, 1",550,1350,1
1938,P-05-13,"534, 1350, 1",534,1350,1
1944,P-06-11,"566, 1408, 1",566,1408,1
1945,P-06-12,"550, 1408, 1",550,1408,1
1946,P-06-13,"534, 1408, 1",534,1408,1
1952,P-07-11,"516, 1350, 1",516,1350,1
1953,P-07-12,"500, 1350, 1",500,1350,1
1954,P-07-13,"484, 1350, 1",484,1350,1
1960,P-08-11,"516, 1408, 1",516,1408,1
1961,P-08-12,"500, 1408, 1",500,1408,1
1962,P-08-13,"484, 1408, 1",484,1408,1
1968,P-09-11,"466, 1350, 1",466,1350,1
1969,P-09-12,"450, 1350, 1",450,1350,1
1970,P-09-13,"434, 1350, 1",434,1350,1
1976,P-10-11,"466, 1408, 1",466,1408,1
1977,P-10-12,"450, 1408, 1",450,1408,1
1978,P-10-13,"434, 1408, 1",434,1408,1
1984,P-13-11,"368, 1260, 1",368,1260,1
1985,P-13-12,"352, 1260, 1",352,1260,1
1986,P-13-13,"336, 1260, 1",336,1260,1
1992,P-14-11,"368, 1318, 1",368,1318,1
1993,P-14-12,"352, 1318, 1",352,1318,1
1994,P-14-13,"336, 1318, 1",336,1318,1
2000,P-15-11,"318, 1260, 1",318,1260,1
2001,P-15-12,"302, 1260, 1",302,1260,1
2002,P-15-13,"286, 1260, 1",286,1260,1
2008,P-16-11,"318, 1318, 1",318,1318,1
2009,P-16-12,"302, 1318, 1",302,1318,1
2010,P-16-13,"286, 1318, 1",286,1318,1
2016,P-17-11,"268, 1260, 1",268,1260,1
2017,P-17-12,"252, 1260, 1",252,1260,1
2018,P-17-13,"236, 1260, 1",236,1260,1
2024,P-18-11,"268, 1318, 1",268,1318,1
2025,P-18-12,"252, 1318, 1",252,1318,1
2026,P-18-13,"236, 1318, 1",236,1318,1
2032,P-19-11,"218, 1260, 1",218,1260,1
2033,P-19-12,"202, 1260, 1",202,1260,1
2034,P-19-13,"186, 1260, 1",186,1260,1
2040,P-20-11,"218, 1318, 1",218,1318,1
2041,P-20-12,"202, 1318, 1",202,1318,1
2042,P-20-13,"186, 1318, 1",186,1318,1
2048,P-21-11,"168, 1260, 1",168,1260,1
2049,P-21-12,"152, 1260, 1",152,1260,1
2050,P-21-13,"136, 1260, 1",136,1260,1
2056,P-22-11,"168, 1318, 1",168,1318,1
2057,P-22-12,"152, 1318, 1",152,1318,1
2058,P-22-13,"136, 1318, 1",136,1318,1
2064,P-23-11,"118, 1260, 1",118,1260,1
2065,P-23-12,"102, 1260, 1",102,1260,1
2066,P-23-13,"86, 1260, 1",86,1260,1
2072,P-24-11,"118, 1318, 1",118,1318,1
2073,P-24-12,"102, 1318, 1",102,1318,1
2074,P-24-13,"86, 1318, 1",86,1318,1
2080,Q-01-11,"666, 1440, 1",666,1440,1
2081,Q-01-12,"650, 1440, 1",650,1440,1
2082,Q-01-13,"634, 1440, 1",634,1440,1
2088,Q-03-11,"616, 1440, 1",616,1440,1
2089,Q-03-12,"600, 1440, 1",600,1440,1
2090,Q-03-13,"584, 1440, 1",584,1440,1
2096,Q-05-11,"566, 1440, 1",566,1440,1
2097,Q-05-12,"550, 1440, 1",550,1440,1
2098,Q-05-13,"534, 1440, 1",534,1440,1
2104,Q-07-11,"516, 1440, 1",516,1440,1
2105,Q-07-12,"500, 1440, 1",500,1440,1
2106,Q-07-13,"484, 1440, 1",484,1440,1
2112,Q-09-11,"466, 1440, 1",466,1440,1
2113,Q-09-12,"450, 1440, 1",450,1440,1
2114,Q-09-13,"434, 1440, 1",434,1440,1
2120,Q-13-11,"368, 1350, 1",368,1350,1
2121,Q-13-12,"352, 1350, 1",352,1350,1
2122,Q-13-13,"336, 1350, 1",336,1350,1
2128,Q-14-11,"368, 1408, 1",368,1408,1
2129,Q-14-12,"352, 1408, 1",352,1408,1
2130,Q-14-13,"336, 1408, 1",336,1408,1
2136,Q-15-11,"318, 1350, 1",318,1350,1
2137,Q-15-12,"302, 1350, 1",302,1350,1
2138,Q-15-13,"286, 1350, 1",286,1350,1
2144,Q-16-11,"318, 1408, 1",318,1408,1
2145,Q-16-12,"302, 1408, 1",302,1408,1
2146,Q-16-13,"286, 1408, 1",286,1408,1
2152,Q-17-11,"268, 1350, 1",268,1350,1
2153,Q-17-12,"252, 1350, 1",252,1350,1
2154,Q-17-13,"236, 1350, 1",236,1350,1
2160,Q-18-11,"268, 1408, 1",268,1408,1
2161,Q-18-12,"252, 1408, 1",252,1408,1
2162,Q-18-13,"236, 1408, 1",236,1408,1
2168,Q-19-11,"218, 1350, 1",218,1350,1
2169,Q-19-12,"202, 1350, 1",202,1350,1
2170,Q-19-13,"186, 1350, 1",186,1350,1
2176,Q-20-11,"218, 1408, 1",218,1408,1
2177,Q-20-12,"202, 1408, 1",202,1408,1
2178,Q-20-13,"186, 1408, 1",186,1408,1
2184,Q-21-11,"168, 1350, 1",168,1350,1
2185,Q-21-12,"152, 1350, 1",152,1350,1
2186,Q-21-13,"136, 1350, 1",136,1350,1
2192,Q-22-11,"168, 1408, 1",168,1408,1
2193,Q-22-12,"152, 1408, 1",152,1408,1
2194,Q-22-13,"136, 1408, 1",136,1408,1
2200,Q-23-11,"118, 1350, 1",118,1350,1
2201,Q-23-12,"102, 1350, 1",102,1350,1
2202,Q-23-13,"86, 1350, 1",86,1350,1
2208,Q-24-11,"118, 1408, 1",118,1408,1
2209,Q-24-12,"102, 1408, 1",102,1408,1
2210,Q-24-13,"86, 1408, 1",86,1408,1
2216,R-13-11,"368, 1440, 1",368,1440,1
2217,R-13-12,"352, 1440, 1",352,1440,1
2218,R-13-13,"336, 1440, 1",336,1440,1
2224,R-15-11,"318, 1440, 1",318,1440,1
2225,R-15-12,"302, 1440, 1",302,1440,1
2226,R-15-13,"286, 1440, 1",286,1440,1
2232,R-17-11,"268, 1440, 1",268,1440,1
2233,R-17-12,"252, 1440, 1",252,1440,1
2234,R-17-13,"236, 1440, 1",236,1440,1
2240,R-19-11,"218, 1440, 1",218,1440,1
2241,R-19-12,"202, 1440, 1",202,1440,1
2242,R-19-13,"186, 1440, 1",186,1440,1
2248,R-21-11,"168, 1440, 1",168,1440,1
2249,R-21-12,"152, 1440, 1",152,1440,1
2250,R-21-13,"136, 1440, 1",136,1440,1
2256,R-23-11,"118, 1440, 1",118,1440,1
2257,R-23-12,"102, 1440, 1",102,1440,1
2258,R-23-13,"86, 1440, 1",86,1440,1
