,originalLocation,position,x,y,z
306,D-21-13,"136, 212, 1",136,212,1
312,D-22-11,"168, 270, 1",168,270,1
313,D-22-12,"152, 270, 1",152,270,1
314,D-22-13,"136, 270, 1",136,270,1
320,D-23-11,"118, 212, 1",118,212,1
321,D-23-12,"102, 212, 1",102,212,1
322,D-23-13,"86, 212, 1",86,212,1
328,D-24-11,"118, 270, 1",118,270,1
329,D-24-12,"102, 270, 1",102,270,1
330,D-24-13,"86, 270, 1",86,270,1
336,E-13-11,"368, 302, 1",368,302,1
337,E-13-12,"352, 302, 1",352,302,1
338,E-13-13,"336, 302, 1",336,302,1
344,E-14-11,"368, 360, 1",368,360,1
345,E-14-12,"352, 360, 1",352,360,1
346,E-14-13,"336, 360, 1",336,360,1
352,E-15-11,"318, 302, 1",318,302,1
353,E-15-12,"302, 302, 1",302,302,1
354,E-15-13,"286, 302, 1",286,302,1
360,E-16-11,"318, 360, 1",318,360,1
361,E-16-12,"302, 360, 1",302,360,1
362,E-16-13,"286, 360, 1",286,360,1
368,E-17-11,"268, 302, 1",268,302,1
369,E-17-12,"252, 302, 1",252,302,1
370,E-17-13,"236, 302, 1",236,302,1
376,E-18-11,"268, 360, 1",268,360,1
377,E-18-12,"252, 360, 1",252,360,1
378,E-18-13,"236, 360, 1",236,360,1
384,E-19-11,"218, 302, 1",218,302,1
385,E-19-12,"202, 302, 1",202,302,1
386,E-19-13,"186, 302, 1",186,302,1
392,E-20-11,"218, 360, 1",218,360,1
393,E-20-12,"202, 360, 1",202,360,1
394,E-20-13,"186, 360, 1",186,360,1
400,E-21-11,"168, 302, 1",168,302,1
401,E-21-12,"152, 302, 1",152,302,1
402,E-21-13,"136, 302, 1",136,302,1
408,E-22-11,"168, 360, 1",168,360,1
409,E-22-12,"152, 360, 1",152,360,1
410,E-22-13,"136, 360, 1",136,360,1
416,E-23-11,"118, 302, 1",118,302,1
417,E-23-12,"102, 302, 1",102,302,1
418,E-23-13,"86, 302, 1",86,302,1
424,E-24-11,"118, 360, 1",118,360,1
425,E-24-12,"102, 360, 1",102,360,1
426,E-24-13,"86, 360, 1",86,360,1
436,F-13-11,"368, 392, 1",368,392,1
437,F-13-12,"352, 392, 1",352,392,1
438,F-13-13,"336, 392, 1",336,392,1
444,F-14-11,"368, 450, 1",368,450,1
445,F-14-12,"352, 450, 1",352,450,1
446,F-14-13,"336, 450, 1",336,450,1
452,F-15-11,"318, 392, 1",318,392,1
453,F-15-12,"302, 392, 1",302,392,1
454,F-15-13,"286, 392, 1",286,392,1
460,F-16-11,"318, 450, 1",318,450,1
461,F-16-12,"302, 450, 1",302,450,1
462,F-16-13,"286, 450, 1",286,450,1
468,F-17-11,"268, 392, 1",268,392,1
469,F-17-12,"252, 392, 1",252,392,1
470,F-17-13,"236, 392, 1",236,392,1
476,F-18-11,"268, 450, 1",268,450,1
477,F-18-12,"252, 450, 1",252,450,1
478,F-18-13,"236, 450, 1",236,450,1
484,F-19-11,"218, 392, 1",218,392,1
485,F-19-12,"202, 392, 1",202,392,1
486,F-19-13,"186, 392, 1",186,392,1
492,F-20-11,"218, 450, 1",218,450,1
493,F-20-12,"202, 450, 1",202,450,1
494,F-20-13,"186, 450, 1",186,450,1
