,Location,XYZCOD,col_1_label,col_1_qty,col_2_label,col_2_qty,col_3_label,col_3_qty,col_4_label,col_4_qty,col_5_label,col_5_qty,col_6_label,col_6_qty,col_7_label,col_7_qty,col_8_label,col_8_qty,col_9_label,col_9_qty,col_10_label,col_10_qty,col_11_label,col_11_qty,col_12_label,col_12_qty,col_13_label,col_13_qty,col_14_label,col_14_qty,col_15_label,col_15_qty,col_16_label,col_16_qty,col_17_label,col_17_qty,col_18_label,col_18_qty
24,H-10-21,X,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0,8N10W9,8.0
25,J-09-23,X,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5,05W6TK,8.5
26,J-13-21,X,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0,05W6TK,8.0
27,H-14-23,X,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5,SMMRK3,10.5
28,I-09-11,X,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5,05W6TK,10.5
29,I-10-12,X,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5,8N10W9,8.5
30,I-14-12,X,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0,I2B1FH,9.0
31,I-13-13,X,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0,WRRW1W,12.0
32,I-09-21,X,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0,8D9SAW,10.0
33,I-10-22,X,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0,I2B1FH,10.0
